date,day,personnel,tanks,apv,artillery,mlrs,aaws,aircrafts,helicopters,uav,cruise_missiles,warships,vehicles_fuel_tanks,special_equipment,submarines
2022-02-24,1,800,30,130,,,,7,6,0,,0,,,
2022-02-25,2,2800,80,516,49,4,0,10,7,0,,2,,,
2022-02-26,3,4300,146,706,49,4,0,16,26,2,,2,,,
2022-02-27,4,4500,150,706,50,4,0,27,26,2,,2,,,
2022-02-28,5,5300,150,816,74,21,5,29,29,3,,2,,,
2022-03-01,6,5710,198,846,77,24,7,29,29,3,,2,,,
2022-03-02,7,5840,211,862,85,40,9,30,31,3,,2,,,
2022-03-03,8,9000,217,900,90,42,11,30,31,3,,2,,,
2022-03-04,9,9166,251,939,105,50,18,33,37,3,,2,,,
2022-03-05,10,10000,269,945,105,50,19,39,40,3,,2,,,
2022-03-06,11,11000,285,985,109,50,21,44,48,4,,2,,,
2022-03-07,12,11000,290,999,117,50,23,46,68,7,,3,,,
2022-03-08,13,12000,303,1036,120,56,27,48,80,7,,3,,,
2022-03-09,14,12000,317,1070,120,56,28,49,81,7,,3,,,
2022-03-10,15,12000,335,1105,123,56,29,49,81,7,,3,,,
2022-03-11,16,12000,353,1165,125,58,31,57,83,7,,3,,,
2022-03-12,17,12000,362,1205,135,62,33,58,83,7,,3,,,
2022-03-13,18,12000,374,1226,140,62,34,74,86,7,,3,,,
2022-03-14,19,12000,389,1249,150,64,34,77,90,8,,3,,,
2022-03-15,20,13500,404,1279,150,64,36,81,95,9,,3,,,
2022-03-16,21,13800,430,1375,190,70,43,84,108,11,,3,,10,
2022-03-17,22,14000,444,1435,201,72,43,86,108,11,,3,,10,
2022-03-18,23,14200,450,1448,205,72,43,93,112,12,,3,,11,
2022-03-19,24,14400,466,1470,213,72,44,95,115,17,,3,,11,
2022-03-20,25,14700,476,1487,230,74,44,96,118,21,,3,,12,
2022-03-21,26,15000,498,1535,240,80,45,97,121,24,,3,,13,
2022-03-22,27,15300,509,1556,252,80,45,99,123,35,,3,,15,
2022-03-23,28,15600,517,1578,267,80,47,101,124,42,,4,,15,
2022-03-24,29,15800,530,1597,280,82,47,108,124,50,,4,,16,
2022-03-25,30,16100,561,1625,291,90,49,115,125,53,,5,,18,
2022-03-26,31,16400,575,1640,293,91,51,117,127,56,,7,,19,
2022-03-27,32,16600,582,1664,294,93,52,121,127,56,,7,,21,
2022-03-28,33,17000,586,1694,302,95,54,123,127,66,,7,,21,
2022-03-29,34,17200,597,1710,303,96,54,127,129,71,,7,,21,
2022-03-30,35,17300,605,1723,305,96,54,131,131,81,,7,,21,
2022-03-31,36,17500,614,1735,311,96,54,135,131,83,,7,,22,
2022-04-01,37,17700,625,1751,316,96,54,143,131,85,,7,,24,
2022-04-02,38,17700,631,1776,317,100,54,143,134,87,,7,,24,
2022-04-03,39,18000,644,1830,325,105,54,143,134,89,,7,,24,
2022-04-04,40,18300,647,1844,330,107,54,147,134,91,,7,,25,
2022-04-05,41,18500,676,1858,332,107,55,150,134,94,,7,,25,
2022-04-06,42,18600,684,1861,332,107,55,150,135,96,,7,,25,
2022-04-07,43,18900,698,1891,332,108,55,150,135,111,,7,,25,
2022-04-08,44,19000,700,1891,333,108,55,150,135,112,,7,,25,
2022-04-09,45,19100,705,1895,335,108,55,151,136,112,,7,,25,
2022-04-10,46,19300,722,1911,342,108,55,152,137,112,,7,,25,
2022-04-11,47,19500,725,1923,347,111,55,154,137,119,,7,,25,
2022-04-12,48,19600,732,1946,349,111,63,157,140,124,,7,,25,
2022-04-13,49,19800,739,1964,358,115,64,158,143,132,,7,,25,
2022-04-14,50,19900,753,1968,366,122,64,160,144,134,,7,,25,
2022-04-15,51,20000,756,1976,366,122,66,163,144,135,,8,,25,
2022-04-16,52,20100,762,1982,371,125,66,163,145,138,,8,,26,
2022-04-17,53,20300,773,2002,376,127,66,165,146,148,,8,,27,
2022-04-18,54,20600,790,2041,381,130,67,167,147,155,,8,,27,
2022-04-19,55,20800,802,2063,386,132,67,169,150,158,,8,,27,
2022-04-20,56,20900,815,2087,391,136,67,171,150,165,,8,,27,
2022-04-21,57,21000,829,2118,393,136,67,172,151,166,,8,,27,
2022-04-22,58,21200,838,2162,397,138,69,176,153,172,,8,,27,
2022-04-23,59,21600,854,2205,403,143,69,177,154,182,,8,,27,
2022-04-24,60,21800,873,2238,408,147,69,179,154,191,,8,,28,
2022-04-25,61,21900,884,2258,411,149,69,181,154,201,,8,,28,
2022-04-26,62,22100,918,2308,416,149,69,184,154,205,,8,,31,
2022-04-27,63,22400,939,2342,421,149,71,185,155,207,,8,,31,
2022-04-28,64,22800,970,2389,431,151,72,187,155,215,,8,,31,
2022-04-29,65,23000,986,2418,435,151,73,189,155,229,,8,,31,
2022-04-30,66,23200,1008,2445,436,151,77,190,155,232,,8,,32,
2022-05-01,67,23500,1026,2471,451,151,80,192,155,245,84,8,1796,32,
2022-05-02,68,23800,1048,2519,459,152,80,194,155,271,84,8,1824,38,
2022-05-03,69,24200,1062,2567,475,162,80,194,155,291,84,10,1843,38,
2022-05-04,70,24500,1077,2610,491,163,81,194,155,303,87,10,1867,38,
2022-05-05,71,24700,1092,2651,499,169,83,196,155,312,89,10,1907,38,
2022-05-06,72,24900,1110,2686,502,171,83,199,155,324,90,11,1926,38,
2022-05-07,73,25100,1122,2713,509,172,84,199,155,341,90,11,1934,38,
2022-05-08,74,25500,1130,2741,509,179,86,199,156,360,92,12,1961,39,
2022-05-09,75,25650,1145,2764,513,185,87,199,158,377,94,12,1970,41,
2022-05-10,76,26000,1170,2808,519,185,87,199,158,380,94,12,1980,41,
2022-05-11,77,26350,1187,2856,528,185,87,199,160,390,94,12,1997,41,
2022-05-12,78,26650,1195,2873,534,191,87,199,161,398,94,13,2019,41,
2022-05-13,79,26900,1205,2900,542,193,88,200,162,405,95,13,2042,41,
2022-05-14,80,27200,1218,2934,551,195,88,200,163,411,95,13,2059,42,
2022-05-15,81,27400,1220,2958,555,195,89,200,164,416,95,13,2087,42,
2022-05-16,82,27700,1228,2974,577,195,89,200,165,427,97,13,2101,42,
2022-05-17,83,27900,1235,3009,578,198,90,201,167,436,97,13,2109,43,
2022-05-18,84,28300,1251,3043,586,199,91,202,167,441,102,13,2137,43,
2022-05-19,85,28500,1254,3063,595,199,93,203,167,455,103,13,2157,43,
2022-05-20,86,28700,1263,3090,596,200,93,204,168,460,103,13,2162,43,
2022-05-21,87,28850,1278,3116,596,201,93,204,169,462,104,13,2178,43,
2022-05-22,88,29050,1285,3141,599,201,93,204,170,470,107,13,2194,43,
2022-05-23,89,29200,1293,3166,604,201,93,204,170,476,110,13,2206,43,
2022-05-24,90,29350,1302,3194,606,201,93,205,170,480,112,13,2213,43,
2022-05-25,91,29450,1305,3213,606,201,93,206,170,491,112,13,2218,44,
2022-05-26,92,29600,1315,3235,617,201,93,206,170,502,114,13,2225,47,
2022-05-27,93,29750,1322,3246,623,201,93,206,170,503,115,13,2226,48,
2022-05-28,94,30000,1330,3258,628,203,93,207,174,503,116,13,2226,48,
2022-05-29,95,30150,1338,3270,631,203,93,207,174,504,116,13,2240,48,
2022-05-30,96,30350,1349,3282,643,205,93,207,174,507,118,13,2258,48,
2022-05-31,97,30500,1358,3302,649,207,93,208,174,515,120,13,2275,48,
2022-06-01,98,30700,1361,3343,659,207,94,208,175,519,120,13,2290,49,
2022-06-02,99,30850,1363,3354,661,207,95,210,175,521,120,13,2325,51,
2022-06-03,100,30950,1367,3366,675,207,95,210,175,535,121,13,2329,51,
2022-06-04,101,31050,1376,3379,680,207,95,210,175,540,122,13,2337,52,
2022-06-05,102,31150,1381,3392,686,207,95,210,175,548,122,13,2360,53,
2022-06-06,103,31250,1386,3400,690,207,96,211,176,551,125,13,2395,53,
2022-06-07,104,31360,1390,3416,694,207,96,212,177,553,125,13,2405,53,
2022-06-08,105,31500,1393,3429,703,213,96,212,178,559,125,13,2406,53,
2022-06-09,106,31700,1398,3438,711,213,96,212,178,562,125,13,2421,53,
2022-06-10,107,31900,1409,3450,712,222,97,212,178,572,125,13,2438,54,
2022-06-11,108,32050,1419,3466,712,222,97,212,178,579,125,13,2448,54,
2022-06-12,109,32150,1430,3484,715,226,97,212,178,582,125,13,2455,54,
2022-06-13,110,32300,1432,3492,718,226,97,213,178,585,125,13,2460,54,
2022-06-14,111,32500,1434,3503,721,229,97,213,179,588,125,13,2473,54,
2022-06-15,112,32750,1440,3528,722,230,97,213,179,591,129,13,2485,55,
2022-06-16,113,32950,1449,3545,729,233,97,213,179,591,129,13,2494,55,
2022-06-17,114,33150,1456,3563,734,233,97,215,180,593,129,13,2496,55,
2022-06-18,115,33350,1465,3573,739,233,98,216,180,594,129,14,2513,55,
2022-06-19,116,33600,1468,3577,745,235,98,216,181,598,130,14,2523,55,
2022-06-20,117,33800,1477,3588,749,238,98,216,181,601,130,14,2527,55,
2022-06-21,118,34100,1496,3606,752,239,98,216,181,611,137,14,2537,59,
2022-06-22,119,34230,1496,3614,752,239,99,216,182,614,137,14,2543,60,
2022-06-23,120,34430,1504,3632,756,240,99,216,183,620,137,14,2548,60,
2022-06-24,121,34530,1507,3637,759,241,99,216,183,622,137,14,2553,60,
2022-06-25,122,34700,1511,3645,764,241,99,217,184,626,137,14,2560,60,
2022-06-26,123,34850,1532,3659,764,243,99,217,184,630,139,14,2564,60,
2022-06-27,124,35000,1552,3687,771,243,101,217,184,636,139,14,2575,60,
2022-06-28,125,35250,1567,3704,778,243,102,217,185,636,139,14,2589,61,
2022-06-29,126,35450,1572,3720,781,246,103,217,185,640,142,14,2598,61,
2022-06-30,127,35600,1573,3726,790,246,104,217,185,641,143,14,2602,61,
2022-07-01,128,35750,1577,3736,796,246,105,217,186,645,143,15,2610,61,
2022-07-02,129,35870,1582,3737,800,246,105,217,186,653,144,15,2614,61,
2022-07-03,130,35970,1584,3744,801,246,105,217,187,654,144,15,2618,64,
2022-07-04,131,36200,1589,3754,804,246,105,217,187,658,144,15,2629,65,
2022-07-05,132,36350,1594,3772,806,247,105,217,187,660,144,15,2634,65,
2022-07-06,133,36500,1600,3789,812,247,107,217,187,664,153,15,2648,65,
2022-07-07,134,36650,1602,3797,815,247,107,217,187,667,155,15,2665,66,
2022-07-08,135,36900,1637,3811,828,247,107,217,187,669,155,15,2685,66,
2022-07-09,136,37200,1638,3815,832,247,108,217,187,674,155,15,2687,66,
2022-07-10,137,37300,1641,3823,834,247,108,217,188,676,155,15,2694,66,
2022-07-11,138,37400,1645,3828,838,247,109,217,188,676,155,15,2696,66,
2022-07-12,139,37470,1649,3829,838,247,109,217,188,676,155,15,2699,66,
2022-07-13,140,37570,1649,3832,839,247,109,217,188,678,155,15,2704,67,
2022-07-14,141,37870,1667,3852,840,247,109,219,188,681,155,15,2720,67,
2022-07-15,142,38000,1672,3866,842,247,109,220,188,681,155,15,2731,67,
2022-07-16,143,38140,1677,3874,846,247,109,220,188,687,162,15,2735,68,
2022-07-17,144,38300,1684,3879,846,248,110,220,188,688,166,15,2746,68,
2022-07-18,145,38450,1687,3886,849,248,113,220,188,690,166,15,2753,70,
2022-07-19,146,38550,1691,3892,851,248,113,220,188,693,167,15,2767,70,
2022-07-20,147,38750,1700,3905,856,250,113,221,188,703,167,15,2775,70,
2022-07-21,148,38850,1704,3912,859,251,113,221,188,710,167,15,2781,72,
2022-07-22,149,39000,1704,3920,863,251,113,221,188,713,167,15,2803,72,
2022-07-23,150,39240,1708,3929,864,253,113,221,188,714,167,15,2820,72,
2022-07-24,151,39520,1722,3942,869,255,113,221,188,714,170,15,2823,73,
2022-07-25,152,39700,1730,3950,876,257,116,222,188,719,174,15,2832,73,
2022-07-26,153,39870,1737,3959,880,258,117,222,189,722,174,15,2835,75,
